105 104 0 1
0 13 21 8
85 88 3 0
90 103 31 18
60 62 37 35
91 91 0 0
76 76 0 0
46 59 24 11
151 170 20 1
14 16 6 4
0 13 54 41
0 0 44 44
202 202 0 0
1 75 87 13
152 152 0 0
43 40 0 3
95 113 25 7
137 137 0 0
120 122 2 0
50 72 25 3
239 240 15 14
2 2 6 6
74 74 0 0
46 46 0 0
115 115 0 0
6 6 0 0
211 215 4 0
24 24 4 4
137 217 158 78
79 79 0 0
41 41 0 0
42 42 0 0
0 0 0 0
32 39 7 0
52 52 0 0
5 47 49 7
57 71 14 0
0 0 0 0
75 75 0 0
42 42 0 0
45 45 0 0
40 40 0 0
100 100 0 0
58 58 0 0
212 216 32 28
45 55 15 5
58 72 14 0
27 32 29 24
0 0 0 0
47 47 0 0
109 100 0 9
75 75 0 0
1068 1101 57 24
50 50 0 0
82 95 25 12
30 30 0 0
150 150 0 0
45 45 0 0
82 82 0 0
21 21 0 0
0 54 61 7
49 49 0 0
65 65 0 0
3 3 0 0
90 90 0 0
31 31 0 0
12 30 77 59
67 67 0 0
7 23 28 12
0 11 15 4
6 65 85 26
0 14 27 13
0 0 0 0
0 0 0 0
58 69 49 38
46 55 15 6
0 49 71 22
0 14 16 2
194 194 0 0
0 0 0 0
0 218 280 62
0 46 57 11
0 0 0 0
21 21 0 0
107 102 0 5
44 44 0 0
106 113 7 0
49 49 0 0
50 50 0 0
0 16 21 5
78 77 1 2
12 62 61 11
105 115 17 7
78 91 19 6
0 53 79 26
0 7 10 3
416 439 47 24
82 82 0 0
33 72 47 8
35 35 8 8
124 124 0 0
0 0 0 0
31 144 150 37
2 2 0 0
56 56 0 0
41 41 0 0
0 0 46 46
0 3 23 20
66 66 0 0
0 22 29 7
44 44 19 19
36 36 0 0
57 82 35 10
0 20 20 0
103 108 10 5
9 37 67 39
183 183 0 0
0 36 53 17
1 1 0 0
21 23 2 0
86 89 3 0
31 31 0 0
96 94 1 3
56 56 0 0
99 106 25 18
0 70 104 34
70 77 7 0
42 42 0 0
7 10 3 0
83 83 0 0
126 126 0 0
0 6 47 41
182 224 51 9
90 90 0 0
487 513 115 89
16 16 13 13
0 0 0 0
29 29 0 0
106 133 52 25
48 48 0 0
0 50 70 20
69 87 18 0
29 29 0 0
4 30 31 5
220 251 50 19
6 29 43 20
65 101 36 0
0 12 24 12
35 81 49 3
21 21 0 0
123 128 5 0
1 10 11 2
1 119 135 17
20 20 0 0
66 79 19 6
85 85 0 0
50 50 0 0
6 6 0 0
0 0 0 0
25 25 0 0
421 421 0 0
25 25 0 0
151 163 12 0
45 58 37 24
86 86 0 0
0 0 0 0
0 15 40 25
32 32 0 0
364 364 0 0
27 27 0 0
56 44 11 23
0 8 28 20
89 89 0 0
60 60 0 0
31 49 34 16
25 25 0 0
65 65 0 0
23 23 0 0
97 97 0 0
68 68 0 0
61 71 10 0
89 137 66 18
0 0 0 0
23 23 0 0
48 70 71 49
0 33 38 5
138 138 2 2
63 63 0 0
37 37 0 0
28 51 23 0
96 127 52 21
50 55 26 21
0 28 47 19
24 22 0 2
68 99 124 93
7 31 26 2
0 0 0 0
0 0 0 0
0 20 74 54
0 14 47 33
0 0 0 0
36 36 0 0
256 256 0 0
31 64 43 10
0 11 22 11
2 4 2 0
271 276 24 19
190 200 94 84
83 94 11 0
0 18 35 17
0 25 54 29
0 4 46 42
79 79 0 0
51 51 0 0
90 90 0 0
3 20 17 0
74 74 0 0
33 33 0 0
32 42 57 47
6 6 0 0
103 97 14 20
29 43 35 21
84 84 0 0
21 36 15 0
152 166 14 0
14 14 0 0
60 60 0 0
0 25 36 11
66 64 0 2
0 6 12 6
85 85 0 0
59 59 0 0
0 15 38 23
4 11 35 28
255 347 160 68
46 72 31 5
393 402 9 0
26 26 0 0
160 160 0 0
47 47 0 0
46 44 29 31
46 57 11 0
4 4 36 36
21 20 8 9
39 39 0 0
0 0 0 0
56 56 0 0
0 3 28 25
186 186 0 0
1 1 0 0
435 508 113 40
71 71 0 0
32 32 0 0
0 7 19 12
18 21 16 13
21 23 10 8
59 121 68 6
107 107 0 0
139 139 0 0
113 123 16 6
0 46 65 19
0 2 20 18
48 70 63 41
1 42 107 66
113 113 0 0
53 64 24 13
66 70 4 0
51 49 7 9
14 35 94 73
0 17 39 22
0 0 0 0
41 41 0 0
0 32 47 15
18 18 0 0
202 203 1 0
95 95 0 0
79 78 23 24
42 42 0 0
236 236 0 0
6 1 15 20
124 139 15 0
0 0 0 0
188 212 41 17
49 49 0 0
57 57 0 0
25 25 0 0
69 69 0 0
77 81 4 0
0 39 41 2
3 2 9 10
119 116 8 11
28 28 0 0
71 51 14 34
3 10 18 11
228 213 15 30
91 91 0 0
366 366 0 0
47 47 0 0
35 35 0 0
0 12 21 9
48 48 0 0
13 13 0 0
64 52 3 15
42 42 0 0
269 326 103 46
50 50 0 0
84 86 10 8
21 30 15 6
26 26 0 0
0 0 0 0
0 7 35 28
0 6 25 19
91 101 26 16
83 112 37 8
259 269 33 23
32 107 97 22
77 77 0 0
38 35 7 10
187 198 16 5
71 117 49 3
10 44 64 30
20 20 0 0
101 99 3 5
69 69 0 0
77 77 0 0
46 46 0 0
138 147 9 0
45 45 0 0
64 64 0 0
41 89 66 18
117 129 20 8
57 56 2 3
43 37 18 24
17 17 0 0
201 218 19 2
32 32 0 0
44 106 110 48
64 64 0 0
669 669 0 0
65 65 0 0
85 86 32 31
50 58 8 0
158 158 0 0
44 44 0 0
350 364 14 0
45 45 0 0
3 2 5 6
61 68 10 3
59 130 77 6
28 33 5 0
122 121 10 11
75 75 0 0
286 298 24 12
11 11 0 0
150 156 6 0
0 0 0 0
2 46 81 37
30 30 0 0
51 56 14 9
22 22 0 0
92 92 5 5
55 94 48 9
33 32 34 35
29 29 0 0
176 227 54 3
7 49 61 19
2 25 59 36
6 3 3 6
0 0 0 0
43 43 0 0
73 72 0 1
99 106 7 0
131 135 7 3
20 20 0 0
0 69 90 21
0 23 40 17
277 285 12 4
118 118 0 0
0 11 41 30
0 9 32 23
137 137 0 0
5 5 0 0
250 250 0 0
3 3 0 0
229 229 1 1
31 72 41 0
0 0 0 0
34 34 0 0
80 80 0 0
31 31 0 0
781 781 0 0
27 27 0 0
0 16 28 12
0 18 24 6
0 15 51 36
0 12 39 27
72 86 42 28
29 29 0 0
0 40 75 35
1 34 63 30
105 134 66 37
102 102 5 5
148 161 16 3
33 33 0 0
0 16 32 16
25 25 0 0
51 58 26 19
34 33 4 5
61 61 0 0
0 41 46 5
123 132 9 0
55 65 10 0
0 0 0 0
6 6 0 0
0 24 40 16
25 25 0 0
38 38 0 0
0 7 16 9
70 70 0 0
36 36 0 0
34 46 16 4
36 36 0 0
5 7 2 0
0 0 0 0
288 288 0 0
45 45 0 0
31 31 0 0
1 30 29 0
139 169 71 41
39 39 0 0
213 213 6 6
0 0 0 0
22 250 311 83
4 35 47 16
77 143 74 8
0 3 13 10
347 357 21 11
9 9 0 0
56 56 0 0
5 20 15 0
0 13 62 49
34 34 0 0
356 356 0 0
80 80 0 0
84 97 20 7
105 105 0 0
0 0 0 0
15 15 0 0
69 84 15 0
0 15 21 6
0 0 0 0
0 0 0 0
109 111 12 10
8 8 0 0
90 90 0 0
0 0 0 0
0 0 0 0
0 0 0 0
149 156 12 5
50 138 94 6
70 70 0 0
40 40 0 0
24 24 18 18
0 0 0 0
282 420 221 83
108 107 3 4
58 54 0 4
75 75 0 0
194 182 9 21
64 64 0 0
61 61 0 0
0 0 0 0
395 403 35 27
2 8 16 10
28 28 0 0
88 92 37 33
69 69 0 0
36 54 18 0
0 0 0 0
28 28 0 0
162 202 45 5
118 118 0 0
0 77 167 90
0 7 37 30
144 144 14 14
36 36 0 0
130 130 0 0
52 52 0 0
116 116 0 0
58 60 23 21
3 64 77 16
39 39 0 0
99 99 0 0
17 17 0 0
107 107 0 0
44 42 0 2
0 0 0 0
26 26 0 0
76 76 0 0
0 11 26 15
320 329 64 55
91 91 0 0
373 318 21 76
18 18 10 10
28 40 19 7
21 21 9 9
17 17 0 0
55 58 5 2
129 160 59 28
31 31 0 0
141 137 5 9
61 94 56 23
0 56 103 47
23 23 0 0
46 46 0 0
26 46 20 0
128 128 0 0
19 19 0 0
0 83 98 15
1 22 30 9
185 185 0 0
92 92 0 0
0 50 54 4
45 57 18 6
66 108 83 41
65 62 0 3
0 23 51 28
24 24 0 0
81 103 22 0
0 8 37 29
58 61 3 0
16 22 12 6
171 173 2 0
0 30 61 31
92 92 0 0
0 1 1 0
40 40 0 0
0 18 22 4
209 209 0 0
46 46 0 0
289 289 0 0
51 51 0 0
192 192 0 0
104 104 0 0
0 49 60 11
0 30 38 8
263 265 2 0
0 0 0 0
128 149 40 19
122 122 0 0
155 167 30 18
26 26 0 0
121 121 0 0
97 97 0 0
92 110 18 0
82 82 0 0
144 144 0 0
91 93 2 0
14 14 42 42
39 39 0 0
4 15 51 40
2 16 30 16
149 186 42 5
67 67 0 0
33 152 163 44
13 13 0 0
340 325 34 49
18 18 0 0
57 71 71 57
22 22 0 0
221 221 0 0
0 18 45 27
114 118 15 11
0 7 11 4
254 258 4 0
23 23 0 0
393 393 0 0
40 40 0 0
10 54 64 20
0 0 13 13
64 75 11 0
28 28 12 12
0 0 0 0
0 0 0 0
62 62 0 0
31 35 7 3
137 137 0 0
4 28 49 25
127 127 0 0
49 71 39 17
119 140 57 36
6 55 64 15
147 151 4 0
46 46 0 0
53 63 46 36
55 58 9 6
138 138 0 0
0 11 16 5
300 300 0 0
75 75 0 0
113 111 6 8
90 86 7 11
94 113 23 4
0 41 41 0
136 136 0 0
12 26 17 3
114 117 3 0
20 22 2 0
76 76 0 0
22 49 36 9
3 65 62 0
16 9 15 22
58 64 6 0
0 35 41 6
94 102 56 48
24 24 0 0
113 126 44 31
0 32 43 11
69 64 3 8
1 10 28 19
129 129 0 0
14 10 25 29
352 372 26 6
58 58 0 0
192 200 8 0
40 40 0 0
199 207 8 0
22 101 116 37
99 104 10 5
22 22 0 0
94 94 0 0
64 64 0 0
125 125 0 0
70 70 0 0
112 112 0 0
10 17 7 0
174 173 2 3
19 19 0 0
0 23 65 42
0 9 40 31
0 0 0 0
6 6 19 19
109 135 29 3
38 38 0 0
69 68 23 24
68 75 9 2
102 102 0 0
64 64 0 0
0 23 58 35
31 31 0 0
11 22 20 9
1 54 56 3
54 54 9 9
21 21 0 0
95 99 96 92
0 14 14 0
44 70 87 61
60 66 6 0
0 59 74 15
35 35 0 0
109 109 0 0
0 5 16 11
0 83 203 120
97 98 29 28
38 38 0 0
0 12 17 5
200 200 0 0
26 26 0 0
13 13 0 0
0 0 0 0
135 130 7 12
21 21 0 0
2 43 83 42
6 6 0 0
254 254 0 0
21 23 2 0
124 124 0 0
0 34 34 0
12 64 110 58
41 41 0 0
219 221 6 4
0 0 0 0
116 149 42 9
0 8 23 15
107 107 0 0
0 7 19 12
