Time	Spill_number	Triggers_in_spill	Triggers_out_spill	ToF_TDC_1	ToF_TDC_2	ToF_TDC_3	ToF_TDC_4	ToF_TDC_5	ToF_TDC_6	ToF_Time	
Time	1423849686.71
Spill_number	9
Triggers_in_spill	0
Triggers_out_spill	0
ToF_TDC_1	2290
ToF_TDC_2	2335
ToF_TDC_3	2264
ToF_TDC_4	2446
ToF_TDC_5	1688
ToF_TDC_6	1731
ToF_Time	1423849686.71
Time	1423849686.73
Spill_number	9
Triggers_in_spill	1
Triggers_out_spill	0
ToF_TDC_1	2466
ToF_TDC_2	2508
ToF_TDC_3	2428
ToF_TDC_4	2568
ToF_TDC_5	1
ToF_TDC_6	1
ToF_Time	1423849686.73
Time	1423849686.74
Spill_number	9
Triggers_in_spill	2
Triggers_out_spill	0
ToF_TDC_1	2303
ToF_TDC_2	2360
ToF_TDC_3	2253
ToF_TDC_4	2442
ToF_TDC_5	1665
ToF_TDC_6	1734
ToF_Time	1423849686.74
Time	1423849686.76
Spill_number	9
Triggers_in_spill	3
Triggers_out_spill	0
ToF_TDC_1	2304
ToF_TDC_2	2361
ToF_TDC_3	2271
ToF_TDC_4	2426
ToF_TDC_5	1678
ToF_TDC_6	1754
ToF_Time	1423849686.76
Time	1423849686.78
Spill_number	9
Triggers_in_spill	4
Triggers_out_spill	0
ToF_TDC_1	2302
ToF_TDC_2	2356
ToF_TDC_3	2286
ToF_TDC_4	2435
ToF_TDC_5	1674
ToF_TDC_6	1759
ToF_Time	1423849686.78
Time	1423849686.79
Spill_number	9
Triggers_in_spill	5
Triggers_out_spill	0
ToF_TDC_1	2333
ToF_TDC_2	2372
ToF_TDC_3	2281
ToF_TDC_4	2429
ToF_TDC_5	1697
ToF_TDC_6	1787
ToF_Time	1423849686.79
Time	1423849686.81
Spill_number	9
Triggers_in_spill	6
Triggers_out_spill	0
ToF_TDC_1	2287
ToF_TDC_2	2343
ToF_TDC_3	2249
ToF_TDC_4	2430
ToF_TDC_5	1645
ToF_TDC_6	1733
ToF_Time	1423849686.81
Time	1423849686.83
Spill_number	9
Triggers_in_spill	7
Triggers_out_spill	0
ToF_TDC_1	2293
ToF_TDC_2	2352
ToF_TDC_3	2277
ToF_TDC_4	2446
ToF_TDC_5	1
ToF_TDC_6	1
ToF_Time	1423849686.83
Time	1423849686.84
Spill_number	9
Triggers_in_spill	8
Triggers_out_spill	0
ToF_TDC_1	2332
ToF_TDC_2	2365
ToF_TDC_3	2278
ToF_TDC_4	2446
ToF_TDC_5	1692
ToF_TDC_6	1765
ToF_Time	1423849686.84
Time	1423849686.88
Spill_number	9
Triggers_in_spill	9
Triggers_out_spill	0
ToF_TDC_1	2226
ToF_TDC_2	2269
ToF_TDC_3	2191
ToF_TDC_4	2312
ToF_TDC_5	1595
ToF_TDC_6	1645
ToF_Time	1423849686.88
Time	1423849686.9
Spill_number	9
Triggers_in_spill	10
Triggers_out_spill	0
ToF_TDC_1	2310
ToF_TDC_2	2342
ToF_TDC_3	2290
ToF_TDC_4	2417
ToF_TDC_5	1665
ToF_TDC_6	1782
ToF_Time	1423849686.9
Time	1423849686.93
Spill_number	9
Triggers_in_spill	11
Triggers_out_spill	0
ToF_TDC_1	2375
ToF_TDC_2	2417
ToF_TDC_3	2351
ToF_TDC_4	2494
ToF_TDC_5	1745
ToF_TDC_6	1804
ToF_Time	1423849686.93
Time	1423849686.95
Spill_number	9
Triggers_in_spill	12
Triggers_out_spill	0
ToF_TDC_1	2310
ToF_TDC_2	2369
ToF_TDC_3	2276
ToF_TDC_4	2464
ToF_TDC_5	1671
ToF_TDC_6	1761
ToF_Time	1423849686.95
Time	1423849686.96
Spill_number	9
Triggers_in_spill	13
Triggers_out_spill	0
ToF_TDC_1	2310
ToF_TDC_2	2362
ToF_TDC_3	2286
ToF_TDC_4	2431
ToF_TDC_5	1
ToF_TDC_6	1
ToF_Time	1423849686.96
Time	1423849686.98
Spill_number	9
Triggers_in_spill	14
Triggers_out_spill	0
ToF_TDC_1	2347
ToF_TDC_2	2409
ToF_TDC_3	2308
ToF_TDC_4	2481
ToF_TDC_5	1703
ToF_TDC_6	1796
ToF_Time	1423849686.98
Time	1423849686.99
Spill_number	9
Triggers_in_spill	15
Triggers_out_spill	0
ToF_TDC_1	2327
ToF_TDC_2	2390
ToF_TDC_3	2295
ToF_TDC_4	2451
ToF_TDC_5	1679
ToF_TDC_6	1770
ToF_Time	1423849686.99
Time	1423849687.02
Spill_number	9
Triggers_in_spill	16
Triggers_out_spill	0
ToF_TDC_1	2291
ToF_TDC_2	2340
ToF_TDC_3	2241
ToF_TDC_4	2353
ToF_TDC_5	1646
ToF_TDC_6	1713
ToF_Time	1423849687.02
Time	1423849687.03
Spill_number	9
Triggers_in_spill	17
Triggers_out_spill	0
ToF_TDC_1	2328
ToF_TDC_2	2389
ToF_TDC_3	2314
ToF_TDC_4	2477
ToF_TDC_5	1
ToF_TDC_6	1
ToF_Time	1423849687.03
Time	1423849687.05
Spill_number	9
Triggers_in_spill	18
Triggers_out_spill	0
ToF_TDC_1	2330
ToF_TDC_2	2385
ToF_TDC_3	2290
ToF_TDC_4	2450
ToF_TDC_5	1700
ToF_TDC_6	1773
ToF_Time	1423849687.05
Time	1423849687.06
Spill_number	9
Triggers_in_spill	19
Triggers_out_spill	0
ToF_TDC_1	2294
ToF_TDC_2	2390
ToF_TDC_3	2286
ToF_TDC_4	2436
ToF_TDC_5	1666
ToF_TDC_6	1782
ToF_Time	1423849687.06
Time	1423849687.08
Spill_number	9
Triggers_in_spill	20
Triggers_out_spill	0
ToF_TDC_1	2361
ToF_TDC_2	2421
ToF_TDC_3	2340
ToF_TDC_4	2493
ToF_TDC_5	0
ToF_TDC_6	0
ToF_Time	1423849687.08
Time	1423849687.15
Spill_number	9
Triggers_in_spill	21
Triggers_out_spill	0
ToF_TDC_1	2368
ToF_TDC_2	2432
ToF_TDC_3	2318
ToF_TDC_4	2484
ToF_TDC_5	1740
ToF_TDC_6	1802
ToF_Time	1423849687.15
Time	1423849687.2
Spill_number	9
Triggers_in_spill	22
Triggers_out_spill	0
ToF_TDC_1	2344
ToF_TDC_2	2400
ToF_TDC_3	2319
ToF_TDC_4	2494
ToF_TDC_5	1724
ToF_TDC_6	1819
ToF_Time	1423849687.2
Time	1423849687.23
Spill_number	9
Triggers_in_spill	23
