Cut                                 N(Events)    N(Signal)    Efficiency   Purity       N(Study1)    N(Study2)    
All                                 54423        3096         N/A          N/A          0            1.886e+04    
Vertex_Not_Fiducial                 3.616e+04    2463         N/A          N/A          0            1.256e+04    
nProngs                             2.643e+04    1963         N/A          N/A          0            8076         
Muon_None                           5470         490          100          8.958        0            1866         
secEndPoint_Michel_Exist            3434         447          91.22        13.02        0            614          
PreFilter_Pi0                       2249         372          75.92        16.54        0            432          
ConeBlobs                           636          148          30.2         23.27        0            118          
Photon1DistanceLow                  533          131          26.73        24.58        0            99           
Photon1DistanceLow                  454          122          24.9         26.87        0            76           
Pi0_invMass                         271          82           16.73        30.26        0            41           
Proton_None                         254          77           15.71        30.31        0            36           
Proton_Score                        92           47           9.592        51.09        0            9            
Delta_invMass                       92           47           9.592        51.09        0            9            
beamEnergy                          79           42           8.571        53.16        0            7            
UnusedE                             73           42           8.571        57.53        0            6            


Cut                                 N(Events)    N(Signal)    Efficiency   Purity       N(Study1)    N(Study2)    
All                                 5.442e+04    3096         N/A          N/A          0            1.886e+04    
Vertex_None                         3.89e+04     2606         N/A          N/A          0            1.353e+04    
Vertex_Not_Reconstructable          3.728e+04    2522         N/A          N/A          0            1.299e+04    
Vertex_Not_Fiducial                 3.616e+04    2463         N/A          N/A          0            1.256e+04    
Vertex_Count                        3.248e+04    2283         N/A          N/A          0            1.064e+04    
nProngs                             2.643e+04    1963         N/A          N/A          0            8076         
Muon_None                           5470         490          100          8.958        0            1866         
Muon_Not_Plausible                  5465         490          100          8.966        0            1865         
Muon_Score_Low                      5465         490          100          8.966        0            1865         
Muon_Charge                         4630         464          94.69        10.02        0            1679         
Vertex_Michel_Exist                 3879         458          93.47        11.81        0            973          
EndPoint_Michel_Exist               3448         448          91.43        12.99        0            626          
secEndPoint_Michel_Exist            3434         447          91.22        13.02        0            614          
PreFilter_Pi0                       2249         372          75.92        16.54        0            432          
VtxBlob                             2249         372          75.92        16.54        0            432          
ConeBlobs                           636          148          30.2         23.27        0            118          
Photon1DistanceLow                  533          131          26.73        24.58        0            99           
Photon1DistanceLow                  454          122          24.9         26.87        0            76           
Pi0_invMass                         271          82           16.73        30.26        0            41           
Particle_None                       271          82           16.73        30.26        0            41           
Proton_None                         254          77           15.71        30.31        0            36           
Proton_Score                        92           47           9.592        51.09        0            9            
Delta_invMass                       92           47           9.592        51.09        0            9            
beamEnergy                          79           42           8.571        53.16        0            7            
UnusedE                             73           42           8.571        57.53        0            6            
